score,word
0.9820136881469358,好
1.2195098690723867,可爱
-0.5057831187789371,想
-0.6613850883702865,看
0.8137035591811689,爱
0.8526711129524662,欣欣
-0.18101679595464276,是
-0.1427680683641555,吃
-0.050426962409032924,少
-0.3116328562559995,出去
0.679830734458333,好吃
-0.216951007034517,去
-0.0045890567715605205,大
-1.5622026687181028,饿
-0.01083179054145372,可
0.11491622330025075,对待
-0.38707875227086264,要
-0.48424946963708126,坐
0.23399177607362298,最好
-0.5118970634038275,会
-0.05593646022553844,长
-0.3414039221555827,淘汰
0.38210736106208043,看看
0.5547668140525107,认识
-0.545135645408549,害
-0.3531906694305579,有钱
-0.29534092556682967,完
0.026386172666149517,一般
0.42117012176239044,瘦
-0.19670292197972442,想起
1.2515882725432443,开心
0.5762218325755173,好看
0.033976094725611014,有
-0.22091310874116316,喝
1.4327629093710135,加油
0.6134196009415361,高
-0.007298728374529957,看到
-0.25593725157402647,冲
-0.07099791724761066,走
0.7787197324693025,欣
-0.04514975942757743,让
-0.2940332796122712,觉得
1.1235508556339873,喜欢
-0.4759857308242216,作
-0.4932454173441915,炒作
0.03975623162113317,不配
1.0692064940636057,拥有
-0.543983540599239,突然
-0.1533994481972314,出现
-0.0899577925897459,变
-1.2075906470227689,吓
-0.22523763574194522,调
-0.21333767021020728,出来
0.5244121580528167,表演
-0.2685249836682434,说
-0.2864561039319458,忙
-0.1274793419172304,出
-0.3133075321937746,行
0.07470926763160098,降
-0.31473743267244336,表示
0.07480107556067503,没错
0.34527526987256507,猜
0.0676143004766632,来
-0.507672669828812,到
0.8185403490041281,照顾
0.8135945742218749,公布
0.11492922388503268,排名
-1.0386227788926277,吓人
-0.10173231139900485,梗
1.5760247580207654,精致
0.7612289829259292,佳
0.9202929821482974,出道
0.32165890553483945,呵呵
-0.13605923980205065,服
-0.4722612413429119,胖
0.6874987342882796,甜
0.8754960434585669,优秀
1.567547191927781,支持
1.0861358197423496,开始
0.661858436825092,帅
1.1866464785794855,温暖
-0.9050055472098298,做梦
0.882992286629588,免费
-0.4200935084652183,完全
-0.14942336366112957,经费
0.13058247606974976,盖
0.2357902204110495,作为
-0.5484606872010228,倒
0.9442273217948218,棒
-0.41280572571424734,炸
-0.07584047909729032,好奇
-0.09118720688089195,想念
0.008834597292076285,能
0.08749508669400219,还有
-0.33736114592213984,开
0.12710312472034752,对比
-1.259491724610684,吵
0.5524556822635789,超
-0.08024938405630158,做
0.40420881753625454,激动
-0.044387212548364946,老
-0.36718012238053976,叫
0.28805385252321847,赚
0.21130736441519354,用来
-0.40401118780991885,喊
-0.26011159750111246,吃饭
-0.15385012010987792,惊讶
-0.3969205113814354,厉害
-0.13351978406692214,位置
2.1636583202397013,选
-0.12085730363345984,训练
1.1652340821014868,生
0.3394097370069663,辨识
-0.7811851221516669,死
-0.6800538900961346,搞
-0.5863641707849462,算
0.5541821738385535,赢
0.40323252315281966,惊
-0.45429548164129374,说话
-0.03698116427441814,跳
0.16418126254521073,动
0.6463189014502839,设计
0.29964491916702335,懂
-0.30346764097229284,靠
1.0348716619325866,制作
-1.5098619624465557,疼
1.0667195505633167,小
1.260255394029392,幸福
0.5805567958246692,花
-0.17551461408341382,尖叫
-0.698627672149924,只能
0.3935840670044176,回忆
0.7369794167164384,选手
0.1066374705765267,准备
-0.34739345958783713,赶脚
0.670599927660189,宠
-0.3086817763918638,剩下
0.16211943885064378,燃烧
-0.39985908557447997,早
0.4653040219604677,强
-0.5456025480888101,麻烦
-0.15337354691905242,乃
0.008638416467526121,枯
-0.42377109923235967,好像
1.3243852138075927,惊喜
0.4784382085115052,足
0.0019268944311538333,深
-0.7428466081799696,怕
1.2709565861293295,不错
-1.1023615186469553,丢
-0.5510743707184405,求
-0.9154281893759288,犯
-0.14073869234375047,可能
0.756030011798368,专注
0.16291794748976327,加
0.17556673347977655,滴
1.3635366067917298,满意
-0.5669342485051757,穷
0.7271837680025788,好玩
1.5145898562103122,独特
1.1263714160014053,期待
0.4601807791547766,希望
-0.380055410853529,闹
-0.4901894820613231,忘记
-0.19011316561396288,说明
1.1264373807119874,享受
-0.30048990796595076,久
0.5299843727406245,暖
-1.033283401050887,糟糕
-0.45208622797404197,躲
-0.7698638965874693,掉
1.2774131694947903,香
0.574499793210477,请
0.6938857636245038,和谐
-0.05331793325513281,爆
-0.49869310067720807,进去
-1.0004335971532954,哭
0.12998276152210564,位
0.32029306373123145,羡慕
0.24000429581654448,接触
-1.9425853816978305,难受
1.4759691374888972,满满
0.5627422172233782,努力
-0.37487266689122883,打
0.5011770281006135,配
0.6949827882641998,自信
-0.7884797041868289,清醒
-0.8144105113018559,奇怪
0.9517817193151167,祝
0.1930075666374948,就算
-0.6153622833441231,够
-0.8057022342155742,别扭
-0.46767976096480934,伤害
0.016930385821960055,投
0.2521980510934474,浓
-0.003670115503403991,像
-0.3466311251233539,落泪
0.6040213221353842,吸引
0.402241665159152,注意
0.24878701814673715,聊聊
-0.47200722016522045,拽
0.3158620331138012,眼熟
0.31845884554119336,记得
0.7380092058588549,发挥
-0.6883627452614414,莫名
0.47096290441624744,卸妆
0.44895576066195453,放牛
-0.8623212916524791,滚
0.6729384724707118,熟悉
0.69696372420332,不愧
0.379120488839086,记住
0.2647857936753817,变化
0.7545331834812461,新
-0.4678666159919387,看来
-1.056657455180122,惨
0.3140895797438959,升级
0.8519926690796318,创造
0.39937807063857383,体现
-0.4488631029725917,反差
-0.3988224187705762,问
-0.47104715347993825,看不到
-1.067845879832446,擦
0.15202579704618924,挺
0.14509923115466086,醉
